pathway_note	reaction_name	IS_reversible	substrate	product
syf00061	R04726	false	 C01209	C05759
syf00061	R04963	false	C05755 	C05756
syf00061	R04963	false	 C01209	C05756
syf00061	R04960	false	C05752 	C05753
syf00061	R04960	false	 C01209	C05753
syf00061	R04957	false	C05749 	C05750
syf00061	R04957	false	 C01209	C05750
syf00061	R04952	false	C05745 	C05746
syf00061	R04952	false	 C01209	C05746
syf00061	R04969&R04970	true	C05763	C05764
syf00061	R04969&R04970	true	C05764	C05763
syf00061	R04543	true	C05762	C04633
syf00061	R04543	true	C04633	C05762
syf00061	R04966&R04967	true	C05760	C05761
syf00061	R04966&R04967	true	C05761	C05760
syf00061	R04566	true	C05759	C04688
syf00061	R04566	true	C04688	C05759
syf00061	R04724&R04725	true	C05758	C05223
syf00061	R04724&R04725	true	C05223	C05758
syf00061	R04964	true	C05756	C05757
syf00061	R04964	true	C05757	C05756
syf00061	R04961&R04962	true	C05754	C05755
syf00061	R04961&R04962	true	C05755	C05754
syf00061	R04534	true	C05753	C04619
syf00061	R04534	true	C04619	C05753
syf00061	R04958&R04959	true	C05751	C05752
syf00061	R04958&R04959	true	C05752	C05751
syf00061	R04536	true	C05750	C04620
syf00061	R04536	true	C04620	C05750
syf00061	R04955&R04956	true	C05748	C05749
syf00061	R04955&R04956	true	C05749	C05748
syf00061	R04953	true	C05746	C05747
syf00061	R04953	true	C05747	C05746
syf00061	R04429&R04430	true	C04246	C05745
syf00061	R04429&R04430	true	C05745	C04246
syf00061	R04533	true	C04618	C05744
syf00061	R04533	true	C05744	C04618
syf00061	R01626	false	C00083 	C01209
syf00061	R01626	false	 C00229	C01209
syf00061	R00742	true	C00024	C00083
syf00061	R00742	true	C00083	C00024
syf00061	R04355	false	C03939 	C05744
syf00061	R04355	false	 C01209	C05744
syf00061	R10707	false	C00024 	C05744
syf00061	R10707	false	 C01209	C05744
syf00061	R04428	true	C04618	C04246
syf00061	R04428	true	C04246	C04618
syf00061	R04954	true	C05747	C05748
syf00061	R04954	true	C05748	C05747
syf00061	R04537	true	C04620	C05751
syf00061	R04537	true	C05751	C04620
syf00061	R04535	true	C04619	C05754
syf00061	R04535	true	C05754	C04619
syf00061	R04965	true	C05757	C05758
syf00061	R04965	true	C05758	C05757
syf00061	R04568	true	C04688	C05760
syf00061	R04568	true	C05760	C04688
syf00061	R04544	true	C04633	C05763
syf00061	R04544	true	C05763	C04633
syf00061	R01280	false	C00249	C00154
syf00061	R04355	false	C03939 	C05744
syf00061	R04355	false	 C01209	C05744
syf00061	R02768	false	C00173 	C00685
syf00061	R02768	false	 C01209	C00685
syf00061	R01626	false	C00229 	C01209
syf00061	R01626	false	 C00083	C01209
syf00061	R10208	true	C01271	C00693
syf00061	R10208	true	C00693	C01271
syf00061	R02767	true	C00685	C01271
syf00061	R02767	true	C01271	C00685
syf00061	R01626	false	C00083 	C01209
syf00061	R01626	false	 C00229	C01209
syf00061	R10707	false	C01209 	C05744
syf00061	R10707	false	 C00024	C05744
syf00061	R00390	false	C00638	C02843
syf00061	R00390	false	C00638	C02843
syf00061	R02768	false	C00173 	C00685
syf00061	R02768	false	 C01209	C00685
syf00061	R01403	true	C00693	C00173
syf00061	R01403	true	C00173	C00693
syf00061	R02767	true	C00685	C01271
syf00061	R02767	true	C01271	C00685
syf00061	R00742	false	C00024	C00083
syf00061	R01404	true	C00693	C00173
syf00061	R01404	true	C00173	C00693
syf00071	R00623	true	C00226	C00071
syf00071	R00623	true	C00071	C00226
syf00071	R00631	true	C00071	C00162
syf00071	R00631	true	C00162	C00071
syf00071	R01280	true	C00249	C00154
syf00071	R01280	true	C00154	C00249
syf00130	R08166	false	C16519	C05817
syf00130	R07263	true	C03160	C15547
syf00130	R07263	true	C15547	C03160
syf00130	R04030	false	C02730	C03160
syf00130	R04031	false	C05817	C02730
syf00130	R08165	false	C00885	C16519
syf00130	R01302	true	C00156	C00251
syf00130	R01302	true	C00251	C00156
syf00130	R01717	true	C00251	C00885
syf00130	R01717	true	C00885	C00251
syf00130	R07262	false	C15547	C03657
syf00130	R07501	false	C15882	C15883
syf00130	R10709	false	C17570	C16695
syf00130	R12255	false	C22039 	C13309
syf00130	R12255	false	 C05427	C13309
syf00130	R10710	false	C20737	C20738
syf00130	R11061	false	C13309	C21084
syf00130	R04994	false	C21084	C03313
syf00220	R02282	true	C00437	C00077
syf00220	R02282	true	C00077	C00437
syf00220	R02283	false	C01250	C00437
syf00220	R03443	false	C04133	C01250
syf00220	R02649	false	C00624	C04133
syf00220	R00259	false	C00025	C00624
syf00220	R01086	false	C03406	C00062 
syf00220	R01086	false	C03406	 C00122
syf00220	R01954	false	C00327 	C03406
syf00220	R01954	false	 C00049	C03406
syf00220	R01398	false	C00169 	C00327
syf00220	R01398	false	 C00077	C00327
