pathway_note	reaction_name	IS_reversible	substrate	product
tma00030	R01070	true	C00118	C05378
tma00030	R04779	false	C05345	C05378
tma00030	R02740	true	C00668	C05345
tma00030	R02740	true	C05345	C00668
tma00030	R01528	false	C00345	C00199
tma00030	R02035	false	C01236	C00345
tma00030	R02736	false	C01172	C01236
tma00030	R01541	false	C00204	C04442
tma00030	R01737	false	C00257	C00345
tma00030	R01827	true	C05382 	C00279 
tma00030	R01827	true	C05382 	 C05345
tma00030	R01827	true	 C00118	C00279 
tma00030	R01827	true	 C00118	 C05345
tma00030	R01827	true	C00279 	C05382 
tma00030	R01827	true	C00279 	 C00118
tma00030	R01827	true	 C05345	C05382 
tma00030	R01827	true	 C05345	 C00118
tma00030	R08572	false	C00258	C00631
tma00030	R10221	false	C00345	C00199
tma00030	R02736&R10907	false	C01172	C01236
tma00030	R02073	true	C05345	C05378
tma00030	R02073	true	C05378	C05345
tma00040	R01478	false	C03033	C00191
tma00040	R01761	true	C00259	C00508
tma00040	R01761	true	C00508	C00259
tma00040	R01529	true	C00199	C00231
tma00040	R01529	true	C00231	C00199
tma00040	R05850	true	C01101	C00231
tma00040	R05850	true	C00231	C01101
tma00040	R01639	true	C00310	C00231
tma00040	R01639	true	C00231	C00310
tma00040	R01906	true	C00312	C01508
tma00040	R01906	true	C01508	C00312
tma00040	R01432	true	C00181	C00310
tma00040	R01432	true	C00310	C00181
tma00040	R01482	true	C00191	C00905
tma00040	R01482	true	C00905	C00191
tma00040	R02454	true	C00514	C00905
tma00040	R02454	true	C00905	C00514
tma00040	R05606	true	C00514	C00204
tma00040	R05606	true	C00204	C00514
tma00040	R01983	false	C00333	C00558
tma00040	R02361	false	C00470	C06118
tma00040	R01902	true	C00312	C06441
tma00040	R01902	true	C06441	C00312
tma00040	R01785	true	C06441	C00111 
tma00040	R01785	true	C06441	 C00266
tma00040	R01785	true	C00111 	C06441
tma00040	R01785	true	 C00266	C06441
tma00040	R11624	true	C00558	C00905
tma00040	R11624	true	C00905	C00558
tma00051	R00878	true	C00267	C00095
tma00051	R00878	true	C00095	C00267
tma00051	R01332	false	C02492	C00159
tma00051	R00867	false	C00095	C05345
tma00051	R01819	true	C00275	C05345
tma00051	R01819	true	C05345	C00275
tma00051	R01818	true	C00275	C00636
tma00051	R01818	true	C00636	C00275
tma00051	R00885	false	C00636	C00096
tma00051	R04779	false	C05345	C05378
tma00051	R02073	true	C05345	C05378
tma00051	R02073	true	C05378	C05345
tma00051	R02071	false	C01094	C05378
tma00051	R01015	true	C00118	C00111
tma00051	R01015	true	C00111	C00118
tma00051	R02568	true	C01094	C00577 
tma00051	R02568	true	C01094	 C00111
tma00051	R02568	true	C00577 	C01094
tma00051	R02568	true	 C00111	C01094
tma00051	R01070	true	C05378	C00118
tma00051	R01070	true	C00118	C05378
tma00051	R02437	true	C00507	C00861
tma00051	R02437	true	C00861	C00507
tma00051	R03014	false	C00861	C01131
tma00051	R02263	false	C01131	C00424 
tma00051	R02263	false	C01131	 C00111
tma00051	R03163	true	C01019	C01721
tma00051	R03163	true	C01721	C01019
tma00051	R09030	false	C02962	C18096
tma00052	R03634	false	C01613	C00124 
tma00052	R03634	false	C01613	 C00492
tma00052	R03236&R03237&R03238&R03239	true	C01097	C03785
tma00052	R03236&R03237&R03238&R03239	true	C03785	C01097
tma00052	R05549	false	C05404	C05402 
tma00052	R05549	false	C05404	 C00124
tma00052	R03635	false	C01613	C05404
tma00052	R00801	false	C00089	C00031 
tma00052	R00801	false	C00089	 C00095
tma00052	R01103	false	C00492	C00089
tma00052	R01101	false	C05402	C00031 
tma00052	R01101	false	C05402	 C00124
tma00052	R02410	false	C00492	C05402
tma00052	R01104	true	C05401	C00116 
tma00052	R01104	true	C05401	 C00124
tma00052	R01104	true	C00116 	C05401
tma00052	R01104	true	 C00124	C05401
tma00052	R01329	true	C05400	C00159 
tma00052	R01329	true	C05400	 C00124
tma00052	R01329	true	C00159 	C05400
tma00052	R01329	true	 C00124	C05400
tma00052	R02926	true	C05399	C00794 
tma00052	R02926	true	C05399	 C00124
tma00052	R02926	true	C00794 	C05399
tma00052	R02926	true	 C00124	C05399
tma00052	R01194	true	C01235	C00137 
tma00052	R01194	true	C01235	 C00124
tma00052	R01194	true	C00137 	C01235
tma00052	R01194	true	 C00124	C01235
tma00052	R01786	true	C00267	C00668
tma00052	R01786	true	C00668	C00267
tma00052	R01678	false	C00243	C00267 
tma00052	R01678	false	C00243	 C00124
tma00052	R00291	true	C00029	C00052
tma00052	R00291	true	C00052	C00029
tma00052	R00955	true	C00446 	C00103 
tma00052	R00955	true	C00446 	 C00052
tma00052	R00955	true	 C00029	C00103 
tma00052	R00955	true	 C00029	 C00052
tma00052	R00955	true	C00103 	C00446 
tma00052	R00955	true	C00103 	 C00029
tma00052	R00955	true	 C00052	C00446 
tma00052	R00955	true	 C00052	 C00029
tma00052	R01092	false	C00984	C00446
tma00052	R01105	false	C05796	C00124
tma00052	R10619	false	C00124	C00984
tma00061	R04969	true	C05763	C05764
tma00061	R04969	true	C05764	C05763
tma00061	R04966	true	C05760	C05761
tma00061	R04966	true	C05761	C05760
tma00061	R04724	true	C05758	C05223
tma00061	R04724	true	C05223	C05758
tma00061	R04961	true	C05754	C05755
tma00061	R04961	true	C05755	C05754
tma00061	R04958	true	C05751	C05752
tma00061	R04958	true	C05752	C05751
tma00061	R04955	true	C05748	C05749
tma00061	R04955	true	C05749	C05748
tma00061	R04429	true	C04246	C05745
tma00061	R04429	true	C05745	C04246
tma00061	R07764	true	C16220	C16221
tma00061	R07764	true	C16221	C16220
tma00061	R07762	false	C05764 	C16219
tma00061	R07762	false	 C01209	C16219
tma00061	R07763	true	C16219	C16220
tma00061	R07763	true	C16220	C16219
tma00061	R04968	false	C05761 	C05762
tma00061	R04968	false	 C01209	C05762
tma00061	R04726	false	C05223 	C05759
tma00061	R04726	false	 C01209	C05759
tma00061	R04963	false	C05755 	C05756
tma00061	R04963	false	 C01209	C05756
tma00061	R04960	false	C05752 	C05753
tma00061	R04960	false	 C01209	C05753
tma00061	R04957	false	C05749 	C05750
tma00061	R04957	false	 C01209	C05750
